Id,URL,Host,Path,Status,Status Code,Method,Content Type,Client Name,Client Address,Remote Address,Request Start Time,Request End Time,Request Duration (ms),Response Start Time,Response End Time,Response Duration (ms),Duration (ms),Time Complete,Request Body Size (bytes),Response Body Size (bytes),Compressed Request Size (bytes),Compressed Response Size (bytes),Comment,Server IP Address,Server Certificate - Common Name,Server Certificate - DNSs,GraphQL Query Name
7438,https://printlabel.suitapi.com,printlabel.suitapi.com,,Completed,200,CONNECT,,10.201.40.198,10.201.40.198:34610,printlabel.suitapi.com - 13.95.158.43:443,17:30:49.523,17:32:26.855,97332,17:32:26.855,17:32:26.855,0,97332,17:32:26.855,0,0,0,0,,printlabel.suitapi.com - 13.95.158.43:443,,,
7449,https://login.microsoftonline.com,login.microsoftonline.com,,Completed,200,CONNECT,,10.201.40.198,10.201.40.198:34612,login.microsoftonline.com - 20.190.160.5:443,17:30:50.633,17:31:48.589,57955,17:31:48.589,17:31:48.589,0,57955,17:31:48.589,0,0,0,0,,login.microsoftonline.com - 20.190.160.5:443,,,
8843,https://printlabel.suitapi.com,printlabel.suitapi.com,,Completed,200,CONNECT,,10.201.40.198,10.201.40.198:34622,printlabel.suitapi.com - 13.95.158.43:443,17:34:00.449,17:34:16.902,16453,17:34:16.902,17:34:16.902,0,16453,17:34:16.902,0,0,0,0,,printlabel.suitapi.com - 13.95.158.43:443,,,
8868,https://login.microsoftonline.com,login.microsoftonline.com,,Completed,200,CONNECT,,10.201.40.198,10.201.40.198:34624,login.microsoftonline.com - 20.190.160.5:443,17:34:01.398,17:34:16.905,15506,17:34:16.905,17:34:16.905,0,15506,17:34:16.905,0,0,0,0,,login.microsoftonline.com - 20.190.160.5:443,,,
