Calendar Date,% Selling Bookable,% Selling Bookable Hours Booked,% Selling Non-Bookable 
2026-01-21,80.0%,25.0%,20.0%
2026-01-20,83.3%,24.0%,16.7%
2026-01-19,83.3%,36.0%,16.7%
2026-01-18,87.5%,34.8%,12.5%
2026-01-17,87.2%,69.3%,12.8%
2026-01-16,83.3%,95.3%,16.7%
2026-01-15,75.0%,93.3%,25.0%
