,Retail Week Number,Sales per Hour,Sales per Hour PY,Sales per Hour Target
1,1,344,220,342
2,2,303,282,342
3,45,300,283,320
4,46,281,335,320
5,47,301,280,320
6,48,269,285,320
7,49,340,285,332
8,50,353,261,332
9,51,259,257,332
10,52,323,263,332
