Retail Week Number,Sales,Sales Amount PY,Target
1,173.3K,113.9K,148.K
2,229.4K,182.9K,237.7K
45,221.K,172.2K,206.6K
46,215.7K,190.8K,228.9K
47,219.5K,154.1K,184.9K
48,174.9K,150.6K,180.7K
49,248.6K,171.7K,223.1K
50,234.9K,173.4K,225.4K
51,182.6K,152.6K,198.3K
52,144.1K,115.7K,150.4K
