,Retail Week Number,% Drop-Off,% Drop-Off PY
1,1,31.0%,42.4%
2,2,31.9%,36.6%
3,45,27.0%,38.7%
4,46,34.9%,37.7%
5,47,29.2%,31.9%
6,48,36.3%,32.6%
7,49,30.9%,35.0%
8,50,33.6%,35.4%
9,51,32.7%,35.6%
10,52,29.6%,36.5%
