,Stores,Sales Amount,% Sales vs PY,% Sales vs Target,APC,% APC vs PY,% APC vs Target,IPC,% IPC vs PY,% IPC vs Target
1,San Francisco,229.4K,25.4%,-3.5%,853,4.0%,53.3%,2.68,-3.6%,1.0%
,,229.4K,25.4%,-3.5%,853,4.0%,53.3%,2.68,-3.6%,1.0%
