,Day of Week Name,Sales per Hour,Sales per Hour PY,Sales per Hour Target
1,Sunday,268,396,342
2,Monday,209,158,342
3,Tuesday,201,328,342
4,Wednesday,204,227,342
5,Thursday,359,183,342
6,Friday,295,243,342
7,Saturday,531,358,342
