Day of Week Name,Sales,Sales Amount PY,Target
Sunday,31.5K,38.4K,46.8K
Monday,18.9K,11.6K,28.1K
Tuesday,20.3K,30.9K,25.9K
Wednesday,23.8K,15.8K,24.4K
Thursday,28.4K,15.3K,23.7K
Friday,34.4K,25.K,34.5K
Saturday,72.1K,45.9K,54.3K
