Retail Week Number,% Selling Bookable,% Selling Bookable Hours Booked,% Selling Non-Bookable 
1,81.8%,57.6%,18.2%
2,87.4%,63.0%,12.6%
45,71.0%,69.9%,29.0%
46,79.1%,60.2%,20.9%
47,67.9%,66.5%,32.1%
48,75.0%,62.0%,25.0%
49,85.6%,64.5%,14.4%
50,95.9%,56.3%,4.1%
51,93.6%,52.7%,6.4%
52,86.7%,43.2%,13.3%
